patient_A,patient_B,A_votes,B_votes,total_responses,outcome,preferred
P01,P02,336,1,337,0,P01
P02,P01,5,298,303,1,P01
P02,P03,2,104,106,1,P03
P02,P06,0,2,2,1,P06
P02,P07,0,1,1,1,P07
P02,P08,0,2,2,1,P08
P02,P09,0,4,4,1,P09
P02,P10,0,2,2,1,P10
P02,P12,0,1,1,1,P12
P02,P13,0,1,1,1,P13
P02,P14,0,1,1,1,P14
P02,P16,0,3,3,1,P16
P02,P17,0,3,3,1,P17
P02,P18,0,2,2,1,P18
P02,P19,0,1,1,1,P19
P02,P20,0,1,1,1,P20
P02,P21,0,2,2,1,P21
P02,P22,0,1,1,1,P22
P02,P24,0,3,3,1,P24
P02,P25,0,3,3,1,P25
P02,P26,3,2,5,0,P02
P02,P27,1,2,3,1,P27
P02,P28,0,1,1,1,P28
P02,P29,0,3,3,1,P29
P02,P30,0,2,2,1,P30
P03,P02,114,2,116,0,P03
P03,P04,112,4,116,0,P03
P03,P05,104,4,108,0,P03
P03,P06,5,0,5,0,P03
P03,P08,1,0,1,0,P03
P03,P09,1,0,1,0,P03
P03,P10,1,0,1,0,P03
P03,P11,3,0,3,0,P03
P03,P13,2,0,2,0,P03
P03,P14,1,0,1,0,P03
P03,P15,1,0,1,0,P03
P03,P16,1,0,1,0,P03
P03,P17,1,0,1,0,P03
P03,P19,0,1,1,1,P19
P03,P21,3,0,3,0,P03
P03,P22,1,0,1,0,P03
P03,P23,2,0,2,0,P03
P03,P24,1,0,1,0,P03
P03,P25,2,0,2,0,P03
P03,P27,1,0,1,0,P03
P03,P28,2,0,2,0,P03
P03,P29,2,0,2,0,P03
P03,P30,3,0,3,0,P03
P04,P03,1,108,109,1,P03
P04,P05,1,0,1,0,P04
P04,P06,3,0,3,0,P04
P04,P07,0,1,1,1,P07
P04,P09,0,3,3,1,P09
P04,P10,0,1,1,1,P10
P04,P11,0,1,1,1,P11
P04,P12,0,2,2,1,P12
P04,P13,0,2,2,1,P13
P04,P14,1,2,3,1,P14
P04,P16,0,1,1,1,P16
P04,P17,0,2,2,1,P17
P04,P18,0,1,1,1,P18
P04,P19,0,2,2,1,P19
P04,P20,0,2,2,1,P20
P04,P21,1,0,1,0,P04
P04,P22,1,3,4,1,P22
P04,P23,0,2,2,1,P23
P04,P24,1,2,3,1,P24
P04,P26,1,0,1,0,P04
P04,P28,1,0,1,0,P04
P04,P29,0,2,2,1,P29
P05,P03,0,110,110,1,P03
P05,P06,0,1,1,1,P06
P05,P07,0,1,1,1,P07
P05,P08,0,2,2,1,P08
P05,P09,0,1,1,1,P09
P05,P11,0,1,1,1,P11
P05,P12,0,2,2,1,P12
P05,P13,0,2,2,1,P13
P05,P14,0,2,2,1,P14
P05,P15,0,1,1,1,P15
P05,P16,0,3,3,1,P16
P05,P17,0,2,2,1,P17
P05,P18,0,2,2,1,P18
P05,P19,0,1,1,1,P19
P05,P20,0,2,2,1,P20
P05,P21,0,1,1,1,P21
P05,P23,0,1,1,1,P23
P05,P24,0,2,2,1,P24
P05,P25,0,1,1,1,P25
P05,P26,0,1,1,1,P26
P05,P28,0,1,1,1,P28
P05,P30,0,2,2,1,P30
P06,P02,4,0,4,0,P06
P06,P03,0,1,1,1,P03
P06,P04,0,1,1,1,P04
P06,P07,7,97,104,1,P07
P06,P09,0,1,1,1,P09
P06,P10,0,3,3,1,P10
P06,P11,0,3,3,1,P11
P06,P12,0,3,3,1,P12
P06,P13,0,1,1,1,P13
P06,P15,0,1,1,1,P15
P06,P16,1,0,1,0,P06
P06,P17,0,2,2,1,P17
P06,P18,1,2,3,1,P18
P06,P20,2,1,3,0,P06
P06,P21,0,2,2,1,P21
P06,P22,0,1,1,1,P22
P06,P23,0,1,1,1,P23
P06,P24,0,3,3,1,P24
P06,P26,1,0,1,0,P06
P06,P28,3,2,5,0,P06
P06,P29,0,3,3,1,P29
P06,P30,0,1,1,1,P30
P07,P02,4,0,4,0,P07
P07,P03,0,3,3,1,P03
P07,P04,3,0,3,0,P07
P07,P06,105,12,117,0,P07
P07,P08,4,0,4,0,P07
P07,P09,3,0,3,0,P07
P07,P10,2,0,2,0,P07
P07,P12,4,1,5,0,P07
P07,P13,1,0,1,0,P07
P07,P15,3,0,3,0,P07
P07,P16,1,0,1,0,P07
P07,P17,1,0,1,0,P07
P07,P18,1,0,1,0,P07
