username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
Chitresh,1,A,2026-06-07T10:59:25.584365,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
Chitresh,2,B,2026-06-07T10:59:38.878081,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
Chitresh,3,A,2026-06-07T11:00:10.799135,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
Chitresh,4,B,2026-06-07T11:00:18.458649,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
Chitresh,5,A,2026-06-07T11:00:47.402605,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
Chitresh,6,A,2026-06-07T11:00:53.528353,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
Chitresh,7,B,2026-06-07T11:01:07.410527,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
Chitresh,8,A,2026-06-07T11:01:13.086414,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
Chitresh,9,A,2026-06-07T11:01:39.671720,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
Chitresh,10,A,2026-06-07T11:01:45.133407,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
Chitresh,11,B,2026-06-07T11:01:57.304584,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
Chitresh,12,A,2026-06-07T11:02:56.038059,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
Chitresh,13,A,2026-06-07T11:03:05.531745,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
Chitresh,14,B,2026-06-07T11:03:43.766055,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
Chitresh,15,B,2026-06-07T11:04:12.052041,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
Chitresh,16,A,2026-06-07T11:04:32.341643,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
Chitresh,17,A,2026-06-07T11:04:52.625093,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
Chitresh,18,A,2026-06-07T11:05:00.133909,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
Chitresh,19,A,2026-06-07T11:05:28.196619,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
Chitresh,20,B,2026-06-07T11:05:39.304273,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
