username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
dd,1,A,2026-06-08T13:03:30.410749,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
dd,2,B,2026-06-08T13:03:31.573406,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
dd,3,A,2026-06-08T13:03:32.425344,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
dd,4,B,2026-06-08T13:03:33.129508,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
dd,5,A,2026-06-08T13:03:34.955970,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
dd,6,B,2026-06-08T13:03:36.628428,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
dd,7,A,2026-06-08T13:03:37.841242,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
dd,8,B,2026-06-08T13:03:39.235535,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
dd,9,B,2026-06-08T13:03:41.040306,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
dd,10,A,2026-06-08T13:03:42.054772,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
dd,11,B,2026-06-08T13:03:43.522495,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
dd,12,B,2026-06-08T13:03:44.089314,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
dd,13,B,2026-06-08T13:03:44.359698,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
dd,14,B,2026-06-08T13:03:44.608993,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
dd,15,B,2026-06-08T13:03:45.003670,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
dd,16,B,2026-06-08T13:03:45.372888,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
dd,17,B,2026-06-08T13:03:45.953990,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
dd,18,B,2026-06-08T13:03:46.514267,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
dd,19,B,2026-06-08T13:03:47.255385,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
dd,20,B,2026-06-08T13:03:50.114228,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
