username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
yuvraj,1,A,2026-06-07T10:21:23.924818,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
yuvraj,2,A,2026-06-07T10:21:28.316199,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
yuvraj,3,B,2026-06-07T10:21:29.356477,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
yuvraj,4,A,2026-06-07T10:21:30.010594,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
yuvraj,5,B,2026-06-07T10:21:30.520676,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
yuvraj,6,B,2026-06-07T10:21:30.728051,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
yuvraj,7,B,2026-06-07T10:21:31.189444,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
yuvraj,8,B,2026-06-07T10:21:31.593701,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
yuvraj,9,B,2026-06-07T10:21:31.958877,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
yuvraj,10,B,2026-06-07T10:21:32.390804,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
yuvraj,11,B,2026-06-07T10:21:32.821929,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
yuvraj,12,B,2026-06-07T10:21:33.223550,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
yuvraj,13,B,2026-06-07T10:21:33.658746,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
yuvraj,14,B,2026-06-07T10:21:34.072408,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
yuvraj,15,A,2026-06-07T10:21:34.944386,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
yuvraj,16,A,2026-06-07T10:21:35.360551,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
yuvraj,17,A,2026-06-07T10:21:35.772928,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
yuvraj,18,A,2026-06-07T10:21:36.174272,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
yuvraj,19,A,2026-06-07T10:21:36.572961,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
yuvraj,20,A,2026-06-07T10:21:36.996688,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
