username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
Chitresh Bhati,1,B,2026-07-17T08:42:25.355794,28.0,55.0,2.0,9.0,8.0,7.0,1.0,2.0,0.0,0.0,6.0,7.0
Chitresh Bhati,2,B,2026-07-17T08:42:26.055287,40.0,42.0,3.0,7.0,9.0,6.0,2.0,1.0,0.0,0.0,5.0,8.0
Chitresh Bhati,3,B,2026-07-17T08:42:26.638444,35.0,38.0,4.0,5.0,7.0,7.0,4.0,1.0,0.0,0.0,6.0,9.0
Chitresh Bhati,4,B,2026-07-17T08:42:26.904428,45.0,40.0,6.0,8.0,8.0,9.0,2.0,3.0,0.0,1.0,7.0,8.0
Chitresh Bhati,5,B,2026-07-17T08:42:27.164511,38.0,40.0,5.0,5.0,7.0,8.0,2.0,2.0,0.0,0.0,7.0,7.0
Chitresh Bhati,6,B,2026-07-17T08:42:27.401275,30.0,52.0,2.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,9.0
Chitresh Bhati,7,B,2026-07-17T08:42:27.615896,50.0,35.0,10.0,3.0,6.0,9.0,1.0,4.0,0.0,0.0,8.0,7.0
Chitresh Bhati,8,B,2026-07-17T08:42:27.815630,48.0,60.0,7.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,8.0,7.0
Chitresh Bhati,9,B,2026-07-17T08:42:27.999752,42.0,44.0,1.0,11.0,5.0,7.0,2.0,1.0,0.0,0.0,10.0,5.0
Chitresh Bhati,10,B,2026-07-17T08:42:28.222729,25.0,62.0,4.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,7.0,7.0
Chitresh Bhati,11,B,2026-07-17T08:42:29.290428,40.0,40.0,1.0,10.0,7.0,7.0,2.0,2.0,0.0,0.0,7.0,7.0
Chitresh Bhati,12,B,2026-07-17T08:42:29.737311,45.0,45.0,5.0,5.0,9.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0
Chitresh Bhati,13,B,2026-07-17T08:42:29.916540,30.0,58.0,8.0,2.0,9.0,4.0,3.0,0.0,0.0,2.0,9.0,3.0
Chitresh Bhati,14,B,2026-07-17T08:42:30.135431,65.0,28.0,1.0,9.0,4.0,9.0,0.0,4.0,2.0,0.0,3.0,9.0
Chitresh Bhati,15,B,2026-07-17T08:42:30.353057,55.0,30.0,2.0,6.0,5.0,8.0,0.0,2.0,1.0,0.0,10.0,4.0
Chitresh Bhati,16,B,2026-07-17T08:42:30.771689,25.0,68.0,3.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,7.0,6.0
Chitresh Bhati,17,B,2026-07-17T08:42:30.985344,29.0,50.0,2.0,8.0,8.0,7.0,3.0,1.0,0.0,0.0,6.0,9.0
Chitresh Bhati,18,B,2026-07-17T08:42:31.438464,40.0,40.0,9.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,9.0,5.0
Chitresh Bhati,19,B,2026-07-17T08:42:31.672793,35.0,38.0,7.0,6.0,8.0,7.0,2.0,3.0,1.0,1.0,8.0,7.0
Chitresh Bhati,20,B,2026-07-17T08:42:31.886914,42.0,43.0,12.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,10.0
