username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
Chitresh Bhati,1,B,2026-07-17T08:43:12.051393,66.0,60.0,7.0,5.0,5.0,6.0,2.0,4.0,2.0,2.0,6.0,3.0
Chitresh Bhati,2,A,2026-07-17T08:43:13.401964,66.0,29.0,5.0,4.0,4.0,6.0,4.0,3.0,0.0,0.0,4.0,10.0
Chitresh Bhati,3,B,2026-07-17T08:43:13.872769,53.0,31.0,3.0,7.0,9.0,5.0,0.0,3.0,1.0,1.0,5.0,4.0
Chitresh Bhati,4,A,2026-07-17T08:43:14.571347,42.0,37.0,11.0,5.0,4.0,9.0,3.0,1.0,0.0,1.0,3.0,3.0
Chitresh Bhati,5,A,2026-07-17T08:43:14.906200,35.0,61.0,10.0,8.0,8.0,5.0,1.0,2.0,1.0,2.0,5.0,7.0
Chitresh Bhati,6,A,2026-07-17T08:43:15.307759,38.0,35.0,7.0,3.0,4.0,9.0,4.0,1.0,2.0,1.0,3.0,8.0
Chitresh Bhati,7,A,2026-07-17T08:43:15.623617,49.0,52.0,9.0,8.0,8.0,8.0,0.0,3.0,1.0,1.0,6.0,9.0
Chitresh Bhati,8,A,2026-07-17T08:43:16.020930,33.0,52.0,10.0,6.0,4.0,5.0,4.0,1.0,2.0,0.0,6.0,6.0
Chitresh Bhati,9,A,2026-07-17T08:43:16.408311,52.0,44.0,11.0,11.0,7.0,4.0,2.0,3.0,2.0,2.0,8.0,4.0
Chitresh Bhati,10,A,2026-07-17T08:43:16.804649,41.0,65.0,6.0,8.0,5.0,8.0,2.0,1.0,2.0,1.0,5.0,5.0
Chitresh Bhati,11,A,2026-07-17T08:43:17.207116,61.0,33.0,1.0,9.0,9.0,6.0,3.0,4.0,0.0,0.0,7.0,3.0
Chitresh Bhati,12,A,2026-07-17T08:43:17.623433,36.0,33.0,8.0,3.0,9.0,8.0,0.0,1.0,0.0,0.0,7.0,5.0
Chitresh Bhati,13,A,2026-07-17T08:43:17.821429,41.0,32.0,11.0,3.0,5.0,6.0,0.0,3.0,0.0,1.0,5.0,7.0
Chitresh Bhati,14,A,2026-07-17T08:43:18.017932,62.0,54.0,7.0,11.0,5.0,6.0,0.0,0.0,0.0,1.0,10.0,8.0
Chitresh Bhati,15,A,2026-07-17T08:43:18.240729,31.0,46.0,2.0,1.0,5.0,7.0,0.0,0.0,0.0,1.0,7.0,9.0
Chitresh Bhati,16,A,2026-07-17T08:43:18.456660,54.0,45.0,4.0,10.0,7.0,8.0,2.0,3.0,2.0,0.0,3.0,5.0
Chitresh Bhati,17,A,2026-07-17T08:43:18.671672,54.0,62.0,3.0,6.0,8.0,9.0,3.0,2.0,2.0,2.0,9.0,9.0
Chitresh Bhati,18,A,2026-07-17T08:43:18.869311,67.0,33.0,5.0,1.0,6.0,4.0,1.0,3.0,2.0,0.0,5.0,10.0
Chitresh Bhati,19,A,2026-07-17T08:43:19.050420,37.0,65.0,3.0,12.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0,9.0
Chitresh Bhati,20,A,2026-07-17T08:43:19.290178,40.0,30.0,4.0,4.0,7.0,8.0,3.0,0.0,2.0,1.0,7.0,7.0
