username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
Chitresh,1,A,2026-08-10T17:07:19.351661,3.0,4.0,41.0,39.0,9.0,7.0,7.0,9.0,7.0,8.0
Chitresh,2,B,2026-08-10T17:07:20.992717,4.0,4.0,52.0,26.0,10.0,2.0,3.0,9.0,5.0,7.0
Chitresh,3,A,2026-08-10T17:07:23.121842,3.0,1.0,31.0,51.0,5.0,12.0,3.0,8.0,9.0,4.0
Chitresh,4,A,2026-08-10T17:07:26.585073,0.0,4.0,61.0,45.0,8.0,10.0,10.0,6.0,9.0,9.0
Chitresh,5,A,2026-08-10T17:07:27.470912,3.0,0.0,63.0,55.0,9.0,6.0,9.0,9.0,4.0,5.0
Chitresh,6,A,2026-08-10T17:07:27.724429,1.0,3.0,63.0,63.0,6.0,5.0,3.0,3.0,5.0,4.0
Chitresh,7,A,2026-08-10T17:07:28.573246,3.0,2.0,59.0,58.0,5.0,12.0,4.0,3.0,9.0,8.0
Chitresh,8,B,2026-08-10T17:07:29.606471,1.0,3.0,59.0,45.0,3.0,12.0,6.0,9.0,8.0,6.0
Chitresh,9,B,2026-08-10T17:07:30.206292,2.0,0.0,29.0,59.0,7.0,8.0,3.0,8.0,5.0,5.0
Chitresh,10,A,2026-08-10T17:07:30.838907,1.0,1.0,37.0,25.0,2.0,4.0,9.0,5.0,5.0,5.0
Chitresh,11,A,2026-08-10T17:07:31.106218,2.0,0.0,37.0,57.0,8.0,1.0,10.0,4.0,6.0,7.0
Chitresh,12,B,2026-08-10T17:07:31.787928,2.0,0.0,64.0,29.0,3.0,9.0,10.0,6.0,5.0,7.0
Chitresh,13,B,2026-08-10T17:07:32.073674,1.0,4.0,47.0,56.0,2.0,8.0,9.0,3.0,9.0,5.0
Chitresh,14,B,2026-08-10T17:07:32.319057,4.0,3.0,51.0,28.0,5.0,4.0,5.0,6.0,9.0,4.0
Chitresh,15,B,2026-08-10T17:07:32.555802,3.0,2.0,42.0,66.0,9.0,10.0,4.0,7.0,9.0,5.0
Chitresh,16,B,2026-08-10T17:07:32.785377,1.0,3.0,28.0,44.0,12.0,2.0,7.0,7.0,9.0,6.0
Chitresh,17,B,2026-08-10T17:07:32.985187,0.0,4.0,64.0,35.0,8.0,10.0,9.0,4.0,6.0,6.0
Chitresh,18,B,2026-08-10T17:07:33.201137,2.0,2.0,46.0,38.0,12.0,10.0,7.0,5.0,7.0,7.0
Chitresh,19,B,2026-08-10T17:07:33.418390,1.0,4.0,68.0,46.0,6.0,12.0,8.0,10.0,6.0,4.0
Chitresh,20,B,2026-08-10T17:07:33.651959,3.0,1.0,33.0,28.0,3.0,5.0,8.0,8.0,8.0,7.0
