username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
Chitresh,1,B,2026-08-12T13:31:24.831872,0.0,2.0,52.0,29.0,7.0,5.0,6.0,9.0,6.0,9.0
Chitresh,2,A,2026-08-12T13:31:25.800100,3.0,3.0,58.0,36.0,10.0,11.0,6.0,4.0,5.0,7.0
Chitresh,3,B,2026-08-12T13:31:26.296488,4.0,4.0,52.0,31.0,8.0,2.0,7.0,6.0,8.0,4.0
Chitresh,4,B,2026-08-12T13:31:26.497336,2.0,0.0,67.0,38.0,6.0,7.0,7.0,3.0,8.0,8.0
Chitresh,5,B,2026-08-12T13:31:26.678040,2.0,4.0,43.0,36.0,11.0,10.0,7.0,9.0,4.0,4.0
Chitresh,6,B,2026-08-12T13:31:26.861131,2.0,1.0,67.0,42.0,8.0,8.0,6.0,5.0,7.0,8.0
Chitresh,7,B,2026-08-12T13:31:27.044714,0.0,1.0,49.0,28.0,8.0,8.0,6.0,4.0,5.0,4.0
Chitresh,8,B,2026-08-12T13:31:27.194686,3.0,3.0,47.0,28.0,12.0,1.0,6.0,9.0,5.0,5.0
Chitresh,9,B,2026-08-12T13:31:27.376418,3.0,0.0,47.0,41.0,2.0,9.0,4.0,5.0,4.0,4.0
Chitresh,10,B,2026-08-12T13:31:27.562436,1.0,3.0,26.0,45.0,1.0,8.0,4.0,9.0,7.0,8.0
