username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
jj,1,A,2026-08-12T13:31:42.665238,4.0,3.0,38.0,67.0,9.0,3.0,9.0,7.0,6.0,6.0
jj,2,B,2026-08-12T13:31:43.400323,3.0,3.0,26.0,65.0,9.0,1.0,7.0,6.0,6.0,7.0
jj,3,A,2026-08-12T13:31:43.965636,0.0,0.0,50.0,39.0,1.0,8.0,9.0,7.0,9.0,8.0
jj,4,B,2026-08-12T13:31:44.549987,2.0,0.0,30.0,25.0,5.0,9.0,3.0,5.0,8.0,6.0
jj,5,A,2026-08-12T13:31:45.113769,4.0,3.0,54.0,31.0,1.0,7.0,6.0,4.0,8.0,5.0
jj,6,A,2026-08-12T13:31:45.368358,3.0,2.0,68.0,52.0,7.0,1.0,3.0,3.0,4.0,5.0
jj,7,A,2026-08-12T13:31:45.716415,2.0,1.0,50.0,57.0,2.0,8.0,7.0,8.0,8.0,5.0
jj,8,A,2026-08-12T13:31:45.982265,0.0,4.0,56.0,66.0,4.0,9.0,7.0,4.0,4.0,8.0
jj,9,A,2026-08-12T13:31:46.214743,3.0,4.0,27.0,37.0,7.0,3.0,9.0,9.0,4.0,9.0
jj,10,A,2026-08-12T13:31:46.412491,4.0,2.0,40.0,39.0,10.0,12.0,10.0,5.0,7.0,7.0
jj,11,A,2026-08-12T13:31:46.613524,0.0,1.0,52.0,54.0,12.0,5.0,3.0,10.0,6.0,5.0
jj,12,A,2026-08-12T13:31:46.812593,1.0,2.0,40.0,30.0,4.0,2.0,10.0,9.0,6.0,5.0
jj,13,A,2026-08-12T13:31:47.012719,0.0,3.0,43.0,36.0,12.0,5.0,5.0,10.0,8.0,6.0
jj,14,A,2026-08-12T13:31:47.264678,3.0,2.0,61.0,56.0,8.0,7.0,9.0,4.0,7.0,8.0
jj,15,A,2026-08-12T13:31:47.650459,2.0,0.0,39.0,42.0,9.0,6.0,6.0,10.0,4.0,8.0
jj,16,A,2026-08-12T13:31:48.267152,2.0,2.0,47.0,65.0,7.0,10.0,3.0,4.0,7.0,7.0
jj,17,A,2026-08-12T13:31:48.650417,4.0,1.0,59.0,57.0,7.0,5.0,6.0,5.0,4.0,7.0
jj,18,A,2026-08-12T13:31:48.914263,0.0,0.0,48.0,38.0,8.0,8.0,4.0,4.0,6.0,5.0
jj,19,A,2026-08-12T13:31:49.148915,0.0,0.0,25.0,68.0,11.0,3.0,9.0,4.0,9.0,9.0
jj,20,A,2026-08-12T13:31:49.815730,2.0,2.0,26.0,47.0,8.0,2.0,3.0,6.0,9.0,5.0
