username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
jj,1,A,2026-08-12T13:31:55.683953,0.0,1.0,28.0,45.0,12.0,5.0,5.0,9.0,8.0,9.0
jj,2,A,2026-08-12T13:31:56.234735,4.0,1.0,25.0,41.0,1.0,6.0,10.0,4.0,9.0,7.0
jj,3,A,2026-08-12T13:31:56.447424,3.0,4.0,36.0,57.0,1.0,5.0,5.0,10.0,8.0,8.0
jj,4,A,2026-08-12T13:31:56.661812,0.0,2.0,31.0,47.0,7.0,2.0,9.0,9.0,4.0,7.0
jj,5,A,2026-08-12T13:33:38.930991,1.0,1.0,63.0,48.0,7.0,9.0,5.0,4.0,8.0,9.0
jj,6,B,2026-08-12T13:33:39.783551,0.0,4.0,66.0,49.0,1.0,9.0,6.0,6.0,5.0,7.0
jj,7,B,2026-08-12T13:33:39.977656,1.0,4.0,67.0,39.0,12.0,7.0,8.0,8.0,6.0,4.0
jj,8,B,2026-08-12T13:33:40.179323,0.0,4.0,36.0,31.0,2.0,4.0,10.0,3.0,7.0,6.0
jj,9,B,2026-08-12T13:33:40.394814,3.0,3.0,60.0,68.0,1.0,1.0,5.0,10.0,7.0,4.0
jj,10,B,2026-08-12T13:33:40.610013,3.0,4.0,32.0,43.0,7.0,6.0,3.0,6.0,5.0,5.0
