username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
KK,1,A,2026-08-12T13:33:48.331602,1.0,0.0,64.0,36.0,5.0,1.0,3.0,3.0,6.0,7.0
KK,2,B,2026-08-12T13:33:49.067191,0.0,0.0,48.0,47.0,10.0,9.0,6.0,4.0,8.0,8.0
KK,3,B,2026-08-12T13:33:49.481111,3.0,3.0,62.0,63.0,9.0,9.0,6.0,10.0,9.0,9.0
KK,4,B,2026-08-12T13:33:49.679237,3.0,3.0,29.0,62.0,1.0,7.0,8.0,3.0,5.0,8.0
KK,5,B,2026-08-12T13:33:49.950702,2.0,1.0,41.0,25.0,8.0,12.0,3.0,7.0,6.0,4.0
KK,6,B,2026-08-12T13:33:50.107613,4.0,1.0,26.0,31.0,3.0,1.0,3.0,6.0,5.0,6.0
KK,7,B,2026-08-12T13:33:50.315069,3.0,4.0,43.0,27.0,9.0,7.0,9.0,5.0,7.0,4.0
KK,8,B,2026-08-12T13:33:50.493638,2.0,1.0,37.0,48.0,4.0,7.0,3.0,8.0,8.0,9.0
KK,9,B,2026-08-12T13:33:50.696051,3.0,3.0,51.0,62.0,9.0,6.0,3.0,7.0,6.0,5.0
KK,10,B,2026-08-12T13:33:50.895584,1.0,3.0,53.0,36.0,2.0,7.0,9.0,3.0,8.0,6.0
KK,11,B,2026-08-12T13:33:51.079750,1.0,3.0,35.0,43.0,7.0,8.0,6.0,6.0,9.0,8.0
KK,12,B,2026-08-12T13:33:51.262825,0.0,0.0,67.0,64.0,2.0,5.0,9.0,8.0,7.0,7.0
KK,13,B,2026-08-12T13:33:51.460098,2.0,2.0,37.0,40.0,12.0,10.0,10.0,9.0,6.0,7.0
KK,14,B,2026-08-12T13:33:51.663441,1.0,0.0,57.0,60.0,5.0,4.0,3.0,3.0,6.0,4.0
KK,15,B,2026-08-12T13:33:51.862626,0.0,2.0,65.0,40.0,7.0,7.0,10.0,10.0,9.0,5.0
KK,16,B,2026-08-12T13:33:52.060054,0.0,1.0,52.0,55.0,7.0,12.0,7.0,8.0,5.0,7.0
KK,17,B,2026-08-12T13:33:52.280191,1.0,4.0,67.0,33.0,11.0,9.0,5.0,7.0,9.0,8.0
KK,18,B,2026-08-12T13:33:52.492986,2.0,2.0,51.0,59.0,6.0,9.0,5.0,7.0,6.0,8.0
KK,19,B,2026-08-12T13:33:52.690977,0.0,0.0,54.0,41.0,1.0,6.0,4.0,10.0,9.0,9.0
KK,20,B,2026-08-12T13:33:52.964448,2.0,2.0,41.0,66.0,8.0,4.0,6.0,10.0,9.0,9.0
