username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
rs,1,A,2026-07-17T09:10:16.488587,65.0,32.0,1.0,12.0,6.0,5.0,1.0,1.0,2.0,0.0,4.0,9.0
rs,2,B,2026-07-17T09:10:17.240929,27.0,26.0,2.0,4.0,5.0,8.0,4.0,0.0,2.0,0.0,9.0,6.0
rs,3,B,2026-07-17T09:10:17.639326,53.0,62.0,5.0,1.0,5.0,9.0,3.0,2.0,1.0,0.0,6.0,8.0
rs,4,B,2026-07-17T09:10:18.037272,31.0,30.0,7.0,2.0,6.0,6.0,4.0,2.0,0.0,2.0,10.0,4.0
rs,5,B,2026-07-17T09:10:18.489876,49.0,30.0,9.0,5.0,9.0,8.0,2.0,4.0,0.0,2.0,4.0,3.0
rs,6,B,2026-07-17T09:10:18.890033,67.0,39.0,5.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,8.0,5.0
rs,7,B,2026-07-17T09:10:19.256625,48.0,47.0,4.0,11.0,6.0,9.0,0.0,4.0,2.0,0.0,6.0,5.0
rs,8,B,2026-07-17T09:10:19.451460,54.0,49.0,5.0,11.0,9.0,8.0,1.0,2.0,0.0,0.0,3.0,8.0
rs,9,B,2026-07-17T09:10:19.872555,50.0,42.0,2.0,4.0,8.0,9.0,2.0,1.0,2.0,1.0,9.0,10.0
rs,10,B,2026-07-17T09:10:20.288861,34.0,41.0,3.0,4.0,9.0,8.0,4.0,2.0,2.0,2.0,9.0,9.0
rs,11,B,2026-07-17T09:10:20.517357,48.0,39.0,3.0,9.0,7.0,4.0,0.0,0.0,0.0,2.0,5.0,9.0
rs,12,B,2026-07-17T09:10:20.717885,63.0,29.0,7.0,7.0,8.0,7.0,4.0,2.0,2.0,0.0,4.0,7.0
rs,13,B,2026-07-17T09:10:20.900783,66.0,46.0,2.0,5.0,7.0,5.0,3.0,0.0,2.0,2.0,7.0,5.0
rs,14,A,2026-07-17T09:10:21.520915,57.0,31.0,11.0,5.0,9.0,8.0,4.0,1.0,0.0,1.0,5.0,3.0
rs,15,A,2026-07-17T09:10:21.751830,63.0,45.0,8.0,1.0,4.0,6.0,2.0,1.0,0.0,0.0,4.0,4.0
rs,16,A,2026-07-17T09:10:21.950198,56.0,29.0,9.0,3.0,5.0,9.0,3.0,4.0,0.0,1.0,9.0,6.0
rs,17,B,2026-07-17T09:10:22.455321,59.0,37.0,12.0,5.0,7.0,9.0,2.0,3.0,2.0,1.0,4.0,6.0
rs,18,B,2026-07-17T09:10:22.756936,39.0,29.0,6.0,1.0,8.0,8.0,1.0,4.0,0.0,0.0,4.0,3.0
rs,19,B,2026-07-17T09:10:22.988778,39.0,29.0,1.0,6.0,4.0,8.0,1.0,2.0,2.0,1.0,6.0,5.0
rs,20,B,2026-07-17T09:10:23.184068,61.0,61.0,8.0,4.0,7.0,7.0,1.0,0.0,0.0,2.0,9.0,8.0
