username,scenario,choice,timestamp,A_age,B_age,A_years_waiting,B_years_waiting,A_health_score,B_health_score,A_dependents,B_dependents,A_prior_transplants,B_prior_transplants,A_urgency_score,B_urgency_score
rs,1,B,2026-07-17T09:09:50.251914,61.0,65.0,4.0,2.0,8.0,5.0,4.0,1.0,0.0,2.0,7.0,5.0
rs,2,B,2026-07-17T09:09:50.737500,42.0,59.0,1.0,11.0,4.0,5.0,1.0,4.0,1.0,1.0,9.0,4.0
rs,3,B,2026-07-17T09:09:51.205608,49.0,30.0,3.0,8.0,4.0,5.0,2.0,4.0,0.0,1.0,4.0,10.0
rs,4,B,2026-07-17T09:09:51.970866,33.0,39.0,1.0,11.0,9.0,4.0,1.0,4.0,2.0,0.0,5.0,4.0
rs,5,B,2026-07-17T09:09:52.269797,53.0,32.0,5.0,9.0,5.0,7.0,2.0,4.0,2.0,1.0,3.0,10.0
rs,6,A,2026-07-17T09:09:53.688215,32.0,54.0,10.0,4.0,9.0,9.0,3.0,0.0,1.0,2.0,5.0,4.0
rs,7,A,2026-07-17T09:09:53.917977,40.0,27.0,5.0,3.0,6.0,8.0,2.0,0.0,1.0,1.0,6.0,6.0
rs,8,A,2026-07-17T09:09:54.305551,67.0,45.0,2.0,4.0,7.0,5.0,0.0,3.0,0.0,0.0,10.0,8.0
rs,9,A,2026-07-17T09:09:54.671740,47.0,26.0,4.0,12.0,7.0,5.0,1.0,3.0,0.0,0.0,7.0,4.0
rs,10,A,2026-07-17T09:09:54.867452,62.0,65.0,4.0,2.0,7.0,9.0,4.0,1.0,0.0,0.0,6.0,5.0
rs,11,A,2026-07-17T09:09:55.066573,45.0,62.0,6.0,8.0,4.0,8.0,3.0,1.0,0.0,1.0,8.0,10.0
rs,12,A,2026-07-17T09:09:55.266599,40.0,30.0,1.0,10.0,8.0,8.0,0.0,2.0,1.0,2.0,5.0,4.0
rs,13,A,2026-07-17T09:09:55.449454,28.0,52.0,8.0,6.0,4.0,9.0,4.0,1.0,2.0,1.0,4.0,8.0
rs,14,A,2026-07-17T09:09:55.650148,41.0,33.0,11.0,6.0,6.0,7.0,3.0,2.0,2.0,0.0,3.0,10.0
rs,15,A,2026-07-17T09:09:55.850238,37.0,28.0,3.0,6.0,6.0,8.0,1.0,3.0,1.0,0.0,5.0,8.0
rs,16,A,2026-07-17T09:09:56.032526,35.0,61.0,11.0,1.0,4.0,6.0,1.0,3.0,2.0,0.0,4.0,4.0
rs,17,A,2026-07-17T09:09:56.234204,32.0,51.0,3.0,11.0,7.0,4.0,0.0,4.0,0.0,1.0,3.0,4.0
rs,18,A,2026-07-17T09:09:56.416302,60.0,68.0,8.0,4.0,4.0,7.0,1.0,2.0,1.0,0.0,3.0,10.0
rs,19,A,2026-07-17T09:09:56.616968,43.0,38.0,11.0,2.0,8.0,9.0,0.0,4.0,1.0,0.0,9.0,7.0
rs,20,A,2026-07-17T09:09:56.834595,49.0,46.0,3.0,10.0,8.0,8.0,0.0,1.0,0.0,0.0,6.0,9.0
