username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
verify_edit_v3,1,A,2026-08-12T13:15:41.872192,0.0,2.0,34.0,30.0,10.0,2.0,7.0,4.0,8.0,5.0
verify_edit_v3,2,A,2026-08-12T13:15:42.457693,0.0,3.0,41.0,64.0,11.0,6.0,4.0,10.0,9.0,8.0
verify_edit_v3,3,A,2026-08-12T13:15:43.054584,2.0,2.0,55.0,27.0,7.0,12.0,3.0,10.0,9.0,5.0
verify_edit_v3,4,A,2026-08-12T13:15:43.637710,1.0,0.0,36.0,56.0,6.0,4.0,3.0,3.0,8.0,4.0
verify_edit_v3,5,A,2026-08-12T13:15:44.222084,1.0,1.0,43.0,66.0,4.0,7.0,9.0,3.0,5.0,4.0
verify_edit_v3,6,A,2026-08-12T13:15:44.806598,0.0,2.0,43.0,44.0,7.0,1.0,5.0,10.0,9.0,9.0
verify_edit_v3,7,A,2026-08-12T13:15:45.390614,4.0,0.0,65.0,45.0,9.0,9.0,5.0,8.0,6.0,8.0
verify_edit_v3,8,A,2026-08-12T13:15:45.972206,1.0,4.0,27.0,54.0,9.0,7.0,7.0,9.0,8.0,5.0
verify_edit_v3,9,A,2026-08-12T13:15:46.555548,3.0,1.0,63.0,31.0,11.0,5.0,9.0,8.0,4.0,6.0
verify_edit_v3,10,A,2026-08-12T13:15:47.140918,0.0,3.0,31.0,59.0,2.0,4.0,10.0,8.0,9.0,9.0
verify_edit_v3,11,A,2026-08-12T13:15:47.720922,4.0,2.0,63.0,49.0,4.0,8.0,3.0,9.0,7.0,5.0
verify_edit_v3,12,A,2026-08-12T13:15:48.305576,1.0,1.0,64.0,37.0,1.0,11.0,6.0,7.0,8.0,7.0
verify_edit_v3,13,A,2026-08-12T13:15:48.889283,1.0,4.0,26.0,27.0,7.0,4.0,4.0,7.0,9.0,6.0
verify_edit_v3,14,A,2026-08-12T13:15:49.473372,0.0,1.0,41.0,39.0,6.0,10.0,9.0,4.0,7.0,4.0
verify_edit_v3,15,A,2026-08-12T13:15:50.056445,2.0,1.0,32.0,28.0,12.0,2.0,9.0,7.0,9.0,6.0
verify_edit_v3,16,A,2026-08-12T13:15:50.640189,0.0,4.0,37.0,43.0,3.0,9.0,5.0,8.0,4.0,8.0
verify_edit_v3,17,A,2026-08-12T13:15:51.222400,4.0,2.0,29.0,38.0,3.0,9.0,7.0,4.0,6.0,4.0
verify_edit_v3,18,A,2026-08-12T13:15:51.805880,2.0,4.0,40.0,38.0,1.0,2.0,10.0,10.0,5.0,5.0
verify_edit_v3,19,A,2026-08-12T13:15:52.390155,3.0,1.0,56.0,29.0,1.0,12.0,6.0,8.0,8.0,6.0
verify_edit_v3,20,A,2026-08-12T13:15:52.974086,2.0,1.0,41.0,30.0,11.0,8.0,5.0,8.0,6.0,7.0
