username,scenario,choice,timestamp,A_dependents,B_dependents,A_age,B_age,A_years_waiting,B_years_waiting,A_urgency_score,B_urgency_score,A_health_score,B_health_score
verify_run2,1,A,2026-08-12T13:02:07.713291,4.0,4.0,45.0,54.0,12.0,12.0,8.0,5.0,6.0,7.0
verify_run2,2,A,2026-08-12T13:02:08.295821,0.0,0.0,56.0,39.0,5.0,6.0,3.0,6.0,8.0,8.0
verify_run2,3,A,2026-08-12T13:02:08.879138,0.0,1.0,60.0,66.0,1.0,12.0,5.0,7.0,8.0,9.0
verify_run2,4,A,2026-08-12T13:02:09.463069,4.0,0.0,49.0,68.0,2.0,7.0,5.0,9.0,6.0,8.0
verify_run2,5,A,2026-08-12T13:02:10.046667,2.0,1.0,25.0,37.0,8.0,7.0,8.0,8.0,8.0,8.0
verify_run2,6,A,2026-08-12T13:02:10.629224,4.0,3.0,63.0,30.0,1.0,2.0,6.0,8.0,5.0,9.0
verify_run2,7,A,2026-08-12T13:02:11.213466,0.0,4.0,55.0,49.0,3.0,10.0,6.0,6.0,9.0,6.0
verify_run2,8,A,2026-08-12T13:02:11.795986,0.0,1.0,38.0,47.0,5.0,8.0,6.0,3.0,5.0,6.0
verify_run2,9,A,2026-08-12T13:02:12.379105,3.0,1.0,59.0,67.0,5.0,9.0,5.0,7.0,8.0,8.0
verify_run2,10,A,2026-08-12T13:02:12.979911,1.0,3.0,28.0,35.0,3.0,7.0,4.0,5.0,5.0,4.0
verify_run2,11,A,2026-08-12T13:02:13.563286,2.0,4.0,32.0,66.0,7.0,6.0,3.0,8.0,6.0,4.0
verify_run2,12,A,2026-08-12T13:02:14.147027,3.0,3.0,56.0,65.0,3.0,7.0,4.0,3.0,9.0,5.0
verify_run2,13,A,2026-08-12T13:02:14.729271,2.0,0.0,49.0,65.0,1.0,12.0,10.0,7.0,4.0,5.0
verify_run2,14,A,2026-08-12T13:02:15.312588,1.0,0.0,67.0,60.0,12.0,2.0,4.0,5.0,7.0,7.0
verify_run2,15,A,2026-08-12T13:02:15.895912,1.0,0.0,42.0,58.0,9.0,11.0,8.0,8.0,9.0,9.0
verify_run2,16,A,2026-08-12T13:02:16.478248,0.0,2.0,25.0,46.0,4.0,5.0,10.0,8.0,5.0,5.0
verify_run2,17,A,2026-08-12T13:02:17.063418,3.0,4.0,36.0,47.0,11.0,5.0,8.0,5.0,9.0,6.0
verify_run2,18,A,2026-08-12T13:02:17.647098,1.0,0.0,65.0,42.0,9.0,1.0,4.0,8.0,9.0,6.0
verify_run2,19,A,2026-08-12T13:02:18.229850,2.0,0.0,61.0,29.0,1.0,11.0,4.0,6.0,6.0,4.0
verify_run2,20,A,2026-08-12T13:02:18.811058,3.0,4.0,50.0,63.0,4.0,9.0,7.0,6.0,5.0,6.0
